Name,Typ,temperature,humidity,light,Bodenfeuchtigkeit (%)
Tomate,Gemüse,15.722398950549525,62.160143789500786,Schatten,88.6639129606166
Gurke,Gemüse,18.70713927451209,52.84649442758686,Halbschatten,75.24046145335625
Paprika,Gemüse,32.71571079941214,40.10727530467199,Halbschatten,51.95907029103558
Salat,Gemüse,10.085467567282398,43.96830331557306,Vollsonne,83.41169058760354
Karotte,Gemüse,21.622095844956355,78.92899316236125,Halbschatten,77.8399496477817
Zucchini,Gemüse,27.037733202360762,52.99165311947855,Halbschatten,83.16867416874503
Apfel,Obst,11.578314295800833,46.51225163750749,Vollsonne,72.64151305120777
Erdbeere,Obst,17.52838554998424,83.50717050998992,Halbschatten,72.30162945847117
Blaubeere,Obst,28.429734395458077,81.65961646254569,Schatten,84.8746465486993
Kirsche,Obst,23.55656235877821,79.43061347152772,Vollsonne,55.234263537144614
Birne,Obst,25.013013838584165,62.24972993362363,Schatten,83.95846320803358
Pfirsich,Obst,20.33633889768811,43.84740622349923,Vollsonne,64.30726524610512
